id,user_id,date,text,likes,replies,retweets,label1,label2,final_label
1048327010693668864,898318622069841920,2018-10-05 21:40:10,A game about the fat acceptance movement.,0,0,1,2,2,
453214485655085056,20300639,2014-04-07 16:55:28,"FAT ACCEPTANCE=/=HAES - sugaredvenom: The two often run together, BUT THEY ARE NOT THE SAME THING. Fat... http://tmblr.co/ZhX-1y1CNmML4 ",0,0,0,0,0,
447744111903535104,60583269,2014-03-23 14:38:09,"thisisthinprivilege: Thin privilege is the fact that Shallow Hal is supposed to be a fat acceptance movie,... http://tmblr.co/ZxZETp1AyFLih ",1,1,1,0,0,
966027607283326976,888424608793190400,2018-02-20 19:11:44,"""The fat acceptance movement...huh. you never hear about them throwing a 5k run do ya?""",2,0,0,1,1,
1205539394972770309,965370544601337856,2019-12-13 17:26:04,"I agree; and I see the hypocrisy going on with this “body positivity/fat acceptance” movement. They’re bashing her for being a FAT GIRL being ratchet, not her for being ratchet

Despite her showing us a LOT b/c she’s a big girl, (no matter the size) it was indecent for the public",1,0,0,1,1,
1043434884130328576,18343602,2018-09-22 09:40:37,Fat acceptance has gone too far. Kill fat people.,2,0,0,1,1,
101864733140975616,91744387,2011-08-12 03:56:59,@Doc_Samantha Is your Fat Acceptance report online? I'd be really interested in reading it. :),0,1,0,0,0,
484320103475863552,156958343,2014-07-02 12:58:05,Adam Richman's New Show Is Postponed After His Instagram Meltdown Over Fat Acceptance Bloggers: Trav... http://bzfd.it/1iXvaVc  #BuzzFeed,0,0,0,2,2,
1050212867956453376,155055801,2018-10-11 02:33:54,The Dark Side of Fat ACCEPTANCE #fatacceptance: http://youtu.be/jT11sJgIziY?a  via @YouTube,1,0,0,1,1,
834496408199651328,825997244142792705,2017-02-22 20:13:42,"I mean, I believe in the CORE of fat acceptance, which also means ACCEPT when people want to lose weight. A reasonable stance.",2,0,0,2,0,*
653586505198268416,3861064043,2015-10-12 15:02:20,"Self-Deception: The Safer Choice
#FatAcceptance https://dogncatcomic.wordpress.com/2015/10/12/the-safer-choice …pic.twitter.com/Xa79HPLljg",14,1,1,1,1,
403602339941978112,443283685,2013-11-21 19:14:31,"@LowCarbKitty Fat Acceptance, Weight Loss Surgery & (Sugar) Addiction - http://www.strongcoffey.com/?p=691 ",0,0,0,1,1,
930877049887129600,879172415988936708,2017-11-15 19:15:58,I love how now in 2017 when the rate of death from obesity has peeked people want to do this fat acceptance shit I’m not say that it’s bad to be fat but you should not accept the life style it’s not healthy. And for people to be encouraging it is sad.,0,0,0,1,1,
1113339147953901568,790331386712297472,2019-04-03 07:15:12,"You may think fat acceptance is innocent fun, but it's a doorway to reading",0,0,0,0,2,*
1046047297702899713,854554770811617282,2018-09-29 14:41:25,Weight loss should be attacked with diligence and no expectation. You've got to acknowledge people are going to do what they want to do. Though speaking out against fat acceptance is absolutely necessary in this day and age.,0,0,0,1,1,
819305154029744129,718130220746846208,2017-01-11 22:09:05,#FatShaming #FatAcceptance #dietpains World's knowledge in 1 hand site: Women Admit Their Top Regrets -Can We Learn? http://bit.ly/1LjZ9ir ,0,0,0,2,2,
346682835932942337,38865420,2013-06-17 17:36:43,I liked a @YouTube video from @Scoobysworkshop http://youtu.be/ilubYTOM1ls?a  Fat Acceptance,0,0,0,1,1,
828103618838544384,801936889527828486,2017-02-05 04:51:02,#fatacceptance You people act like weight loss is impossible. Stop justifying your laziness. You are literally promoting death.,1,0,0,1,1,
1094609824011161601,731417018407129088,2019-02-10 14:51:33,"We should lift up all body types, but we don't. Fat people, fat women in particular, are all but demonized by society. There has been a tiny push for fat acceptance that gets attacked at every turn, yet you see it as putting too much focus on plus-sized women.",2,2,0,0,0,
489416673061912576,31998455,2014-07-16 14:30:02,The #fatacceptance movement is trying to rewrite science by playing down the health effects of #obesity. #haes http://tips.straighthealth.com/tip/2012/not-ok-to-be-fat.html …,2,0,2,1,1,
760028681976877056,3241893123,2016-08-01 08:25:33,I liked a @YouTube video http://youtu.be/tT-Ob_eYEd8?a  Why I Hate 'Fat Acceptance',0,0,0,1,1,
602388392244948992,40965960,2015-05-24 08:19:19,@manonscale @imgur YES. And I also disagree with all this fat acceptance that's recently become popular. It's teaching ppl it's ok 2 b obese,0,3,0,1,1,
430547767111319552,2278250726,2014-02-04 03:46:01,"Here's a direct link to the new podcast, episode 05! http://tinyurl.com/lauptdc  #thefatness #fatpositive #fatspo #fatacceptance",0,0,0,0,0,
10640859801,37169553,2010-03-17 22:04:28,RT @Erick86 National Association to Advance Fat Acceptance (NAAFA) < This is a real Assc  #SMH Bein Fat is unhealthy... I'm a proud member,0,0,0,1,1,
988880263462744064,793293130812358656,2018-04-24 20:40:01,This is whats wrong with the fat acceptance movement. https://twitter.com/MissMisaRants/status/988765704915742720 …,0,0,0,1,1,
1020835734054408194,898492321259438081,2018-07-22 00:59:39,"If you think underwear companies making clothes for size 16-18 is courageous, then you need to think about exclusion for size 22 or size 36 women looking at bodies of size 16 plus models celebrating fat inclusivity #fatacceptance #fatphobia #notyourbefore",18,0,3,0,0,
839978267100626944,24793165,2017-03-09 23:16:39,"please don't thank me for doing a bare minimum human decency thing :( fat acceptance should be the norm, not the exception",14,1,0,0,0,
1185871060861935617,1185869319634333697,2019-10-20 10:51:07,"also ive seen your past tweets.

One you work for kings isle 

two you're an American leftist

three you believe the bullshit from the fat acceptance movement

you definitely do not have better mental health than any of us.  also physical health goes deeper than just a blood test",0,1,0,1,1,
1204384487150370817,718746805857558528,2019-12-10 12:56:52,"It probably became a word coz of the pushing of fat acceptance ,and people who just abuse someone are very rare and it's uncalled for but if it's a fat person posting their naked body then it's to be expected coz when pple say they are disgusted they are telling the truth",0,1,0,1,1,
1102702284717252608,959808109790154752,2019-03-04 22:48:06,"Well, I don't see you taking up a 4x4 space whenever you're walking outside.

It's not that you have thin privilege, it's because you don't buy into fat acceptance.",1,0,0,1,2,*
1075795306237706240,1668143209,2018-12-20 16:49:22,"pathologizes all fat people
misunderstands #BodyAutonomy
misunderstands #FatAcceptance
attempts to recategorize #DietCulture as Feminist
would be shocking, but for the fact that so many of you do some or all these things.https://twitter.com/yrfatfriend/status/1075612115379970054 …",1,1,0,0,0,
558906853128536064,2379545004,2015-01-24 08:39:12,@ZestNutrition The fat acceptance/HAES community that story/experience is everywhere. It is so shitty!,0,0,0,0,0,
1083045816930050049,19494198,2019-01-09 17:00:19,Enjoy the 'Super Duper Incontrovertibly Incredible & Unrelentingly Exciting Fat Acceptance Test' - on #BookBuzzr - http://bit.ly/2dbhMLZ ,0,0,0,2,2,
855654473393373184,2553769280,2017-04-22 05:28:18,I liked a @YouTube video http://youtu.be/8BBp2Kir75c?a  FAT ACCEPTANCE MEGA COMPILATION 2017 V3 #BODYPOSITIVE (Health Deniers),0,0,0,1,1,
1030122305500979201,100272914,2018-08-16 16:01:11,"Classic episode! I’m chatting with @cynaragee  about #fatacceptance, how to deal with everyday #fatphobia, and existing in #DietCulture. #FearlessRebelleRadio http://bit.ly/2MhqFFx pic.twitter.com/aLDiJk0Oan",1,0,1,0,0,
225485073091268609,24541414,2012-07-18 07:00:05,"""Fat acceptance isn’t saying that fat bodies are better. Fat acceptance isn’t saying that everybody..."" http://tmblr.co/ZFScFyPbJQr0 ",0,0,0,0,0,
604434764582383616,39922506,2015-05-29 23:50:52,@Zujabes I was watching My 600 lb Life and this lady was a activist for fat acceptance (this is a thing) until she hit like 500...,0,0,0,1,1,
1187415181892227081,863397537398611971,2019-10-24 17:06:55,Thank you. I saw a smaller BBW bragging about her lack of cellulite recently and all that does is hurt the fat acceptance movement and other fat ppl. Cellulite is more genetic than anything and not a character flaw.,17,2,3,0,0,
800073464350654465,613296424,2016-11-19 20:29:13,studies media incl fat acceptance and would like the taxpayer to pay the bill for this wasted education,0,0,0,1,2,*
